รหัสโรงเรียน,โรงเรียน,จน.นร.,ไทย,สังคม,อังกฤษ,คณิตศาสตร์,วิทยาศาสตร์,เฉลี่ย
56010001,บ้านจำป่าหวาย,17,44.26,38.53,34.29,49.18,32.94,39.84
56010002,บ้านดาวเรือง (ธนาคารกรุงเทพ๑๗),8,52.81,43.13,45.19,53.75,30.94,45.16
56010007,บ้านดอกบัว (บุญมานุเคราะห์),3,43.33,46.67,42.33,52.00,35.83,44.03
56010008,บ้านศาลา,4,51.25,37.50,33.63,48.50,31.88,40.55
56010009,บ้านต๋อม,20,54.13,54.75,40.78,52.00,40.00,48.33
56010011,ตำบลสันป่าม่วง,5,60.00,73.00,52.30,66.80,62.00,62.82
56010012,บ้านร่องห้า,13,46.54,53.08,42.12,51.38,38.27,46.28
56010013,บ้านต๊ำพระแล,11,46.82,41.82,42.86,48.91,30.45,42.17
56010015,ชุมชนบ้านตุ้มท่า,12,54.58,47.08,45.88,54.67,42.29,48.90
56010016,บ้านต๊ำเหล่า,5,55.00,43.00,43.00,56.00,36.00,46.60
56010019,บ้านดอกบัว (ราษฏร์บำรุง),15,47.17,48.67,43.53,48.80,41.67,45.97
56010021,บ้านตุ่น,3,47.50,53.33,44.17,51.33,35.83,46.43
56010022,บ้านสันเวียงใหม่,8,63.75,53.75,48.19,63.25,53.44,56.48
56010024,บ้านสาง,16,49.84,40.63,43.19,54.75,55.78,48.84
56010025,บ้านโป่ง,4,55.00,52.50,45.38,50.50,53.75,51.43
56010058,บ้านใหม่,7,55.36,61.43,51.50,48.00,41.07,51.47
56010028,บ้านแม่กา,10,50.75,44.50,46.35,49.60,30.00,44.24
56010029,บ้านแม่กา สาขาบ้านแม่ต๋ำน้อย,5,42.50,30.00,40.00,43.60,26.50,36.52
56010030,บ้านห้วยเคียน,7,47.86,42.14,45.00,49.71,37.50,44.44
56010031,บ้านแม่ต๋ำบุญโยง,3,60.83,48.33,47.00,55.33,52.50,52.80
56010032,อนุบาลเมืองพะเยา (บ้านโทกหวาก),10,50.50,51.00,53.25,53.40,42.00,50.03
56010034,บ้านร่องคำ,10,52.75,38.50,41.65,55.80,49.50,47.64
56010035,บ้านสันป่าสัก,4,54.38,46.25,37.13,53.00,67.50,51.65
56010037,บ้านไร่,5,58.50,56.00,51.30,54.80,74.00,58.92
56010038,บ้านแม่นาเรือใต้,8,56.56,51.25,49.94,56.50,45.63,51.98
56010039,บ้านภูเงิน,17,54.71,36.76,44.09,46.12,28.68,42.07
56010040,บ้านห้วยบง,13,52.31,38.08,51.04,54.31,33.08,45.76
56010041,บ้านป่าคา,7,50.36,43.57,43.50,49.71,37.86,45.00
56010044,บ้านดอนมูล,8,57.19,60.00,52.56,61.75,49.69,56.24
56010045,บ้านต๊ำม่อน,3,52.50,46.67,46.00,48.67,48.33,48.43
56010048,ชุมชนบ้านแม่ใส,18,52.64,49.72,49.75,48.78,54.58,51.09
56010050,บ้านสันป่าถ่อน,3,40.83,41.67,41.33,50.00,50.00,44.77
56010051,อนุบาลพะเยา,281,59.19,61.25,48.96,60.18,60.23,57.96
56010053,บ้านต๋อมดง,4,50.63,42.50,48.00,55.50,37.50,46.83
56010056,บ้านหนองหล่ม,9,44.17,42.78,38.22,43.11,30.83,39.82
56010057,บ้านแม่พริก,9,50.00,42.22,47.06,46.89,41.11,45.46
56010058,บ้านใหม่,14,49.64,52.50,48.32,52.29,32.68,47.09
56010059,บ้านดง,14,53.57,40.00,38.79,47.14,32.32,42.36
56010061,บ้านสันโค้ง,6,44.58,47.50,42.67,46.67,39.58,44.20
56010062,บ้านจำไก่,18,54.44,45.00,46.39,50.56,43.06,47.89
56010066,ไทยรัฐวิทยา 46 (ดอกคำใต้),33,50.45,49.70,43.05,49.39,43.71,47.26
56010067,บ้านถ้ำประชาบำรุง,8,48.75,53.13,35.94,48.50,47.81,46.83
56010068,บ้านถ้ำประชานุเคราะห์,21,52.02,45.71,54.69,48.95,51.31,50.54
56010069,บ้านปางงุ้น,6,49.58,44.17,42.92,44.33,36.67,43.53
56010071,บ้านทุ่งหลวง,7,50.71,46.43,48.57,49.43,45.71,48.17
56010072,บ้านสันจกปก,5,52.50,70.00,45.90,52.00,39.00,51.88
56010073,บ้านค่า,25,55.60,46.80,48.46,54.40,40.10,49.07
56010074,บ้านค่าบน,8,42.81,43.75,36.75,39.75,35.00,39.61
56010076,บ้านร่องจว้า,12,49.58,42.50,40.58,49.83,34.58,43.42
56010077,อนุบาลดอกคำใต้ (ชุมชนสันช้างหิน,15,46.33,35.33,41.10,43.73,36.83,40.67
56010079,บ้านบุญเรือง (อินทะวงศานุเคราะห์),8,47.81,35.63,37.75,48.50,40.63,42.06
56010080,บ้านปาง,9,49.72,48.33,39.06,47.33,31.67,43.22
56010082,บ้านโพธิ์ทอง,7,52.86,51.43,46.86,54.00,38.57,48.74
56010083,บ้านปิน,20,49.25,47.00,40.38,46.40,34.38,43.48
56010084,บ้านปินเหนือ,9,39.72,33.89,35.28,45.33,29.17,36.68
56010085,บ้านวังขอนแดง,5,50.50,56.00,51.10,51.20,40.00,49.76
56010086,ชุมชนบ้านห้วยลาน,21,50.71,42.38,41.90,49.71,35.71,44.09
56010088,บ้านทุ่งต้นศรี,2,43.75,42.50,34.00,44.00,33.75,39.60
56010089,บ้านเนินสมบูรณ์,9,51.11,50.56,39.72,48.67,31.67,44.34
56010091,บ้านสันต้นม่วง,13,53.08,49.62,44.31,61.08,52.12,52.04
56010093,บ้านป่าแฝกเหนือ,6,47.92,47.50,44.25,49.33,32.08,44.22
56010094,บ้านดงอินตา,12,52.71,64.58,44.17,51.50,47.29,52.05
56010096,บ้านดงบุญนาค,10,59.00,53.00,47.45,52.80,50.00,52.45
56010098,บ้านเหล่า,16,55.00,44.38,48.38,50.50,50.16,49.68
56010099,บ้านไร่อ้อย,10,50.50,64.00,43.80,54.80,36.75,49.97
56010101,บ้านห้วยเจริญราษฏร์,7,61.79,67.86,46.29,57.71,60.71,58.87
56010102,ชุมชนบ้านป่าแฝกสามัคคี,10,52.25,37.00,47.35,59.20,39.25,47.01
56010103,บ้านหนองสระ,1,52.50,25.00,35.00,56.00,17.50,37.20
56010105,บ้านป่าตึง,5,55.50,69.00,56.10,61.60,46.00,57.64
56010106,บ้านแม่ใจ,13,53.46,58.46,48.38,49.69,44.23,50.85
56010107,ชุมชนบ้านแม่สุก,7,57.86,49.29,45.21,53.14,45.71,50.24
56010108,บ้านแม่จว้า,11,62.27,63.64,56.77,59.09,64.32,61.22
56010109,บ้านแม่จว้าใต้,4,68.13,80.00,55.13,67.50,53.13,64.78
56010110,บ้านสันขวาง,6,52.50,45.00,39.17,50.33,38.33,45.07
56010112,อนุบาลแม่ใจ (บ้านศรีถ้อย),14,57.32,52.86,45.64,59.86,51.61,53.46
56010113,บ้านป่าสักสามัคคี,12,59.38,50.83,45.71,54.17,43.33,50.68
56010114,บ้านทุ่งป่าข่า,11,56.36,53.64,51.36,54.00,43.64,51.80
56010115,เจริญใจ,3,40.83,16.67,33.17,40.00,29.17,31.97
56010116,บ้านป่าแฝกใต้,9,64.17,57.78,58.00,62.00,50.56,58.50
56010117,บ้านเจน (เจนจันทรานุกูล),6,55.00,55.83,43.25,54.33,55.42,52.77
56010118,อนุบาลภูกามยาว,9,52.50,42.78,38.67,52.44,41.67,45.61
56010119,บ้านแม่อิง,3,61.67,53.33,54.00,57.33,50.00,55.27
56010120,บ้านกว้านเหนือ,7,53.93,53.57,47.93,59.71,54.29,53.89
56010121,บ้านร่องปอ,6,47.50,42.50,49.25,45.67,51.67,47.32
56010122,บ้านร้อง,1,75.00,75.00,65.00,68.00,57.50,68.10
56010124,บ้านสันป่างิ้ว,3,61.67,66.67,40.50,58.67,46.67,54.83
56010125,บ้านสันต้นผึ้ง,4,49.38,46.25,36.88,38.50,35.63,41.33
56010126,บ้านอิงโค้ง,8,56.25,59.38,50.81,57.50,35.94,51.98
56010127,บ้านห้วยแก้ว,6,45.00,39.17,41.83,52.00,35.00,42.60
56010128,บ้านม่วงคำ,2,53.75,62.50,47.50,57.00,46.25,53.40
56010129,บ้านกาดถี,7,47.14,47.86,44.07,40.57,29.64,41.86
56010130,บ้านสันต้นแหน,2,28.75,20.00,38.25,36.00,41.25,32.85
56010132,บ้านห้วยทรายขาว,2,53.75,52.50,45.50,54.00,38.75,48.90
56010000,ค่าเฉลี่ยระดับเขตพื้นที่,,53.87,53.72,46.59,51.43,45.97,50.32
00000000,ค่าเฉลี่ยระดับประเทศ,,49.33,49.18,40.31,43.47,42.59,44.98
